Date,Discharge,SSC,Temperature,Rainfall,ETo
2/10/1990 0:00,1.28,0.14,14.5,0,2.99
6/1/1992 0:00,0.31,0.35,16.9,0.3,2.99
7/20/1992 0:00,37.64,10.07,14,9.4,1.46
5/3/1993 0:00,3.5,0.58,17.9,0,3.31
9/3/1994 0:00,41.9,1.77,17.5,12.1,2.69
8/3/1995 0:00,142,2.9,15.6,18.2,2.02
8/16/1995 0:00,158.7,3.15,15.8,7.9,2.27
2/29/1996 0:00,27.4,1.22,18.7,0,4.4
7/30/1996 0:00,178.8,3.47,16.5,6,2.41
8/24/1996 0:00,167.5,3.26,15.9,8.1,1.98
11/14/1996 0:00,13.6,0.58,17.1,0.1,3.31
8/16/2004 0:00,117.1,2.52,16.2,16.4,2.14
8/17/2004 0:00,167.8,3.23,16.9,3.2,2.81
9/5/2005 0:00,95.1,2.18,17.2,6.8,3.05
9/6/2005 0:00,146.5,3.59,16.5,9.2,2.81
9/7/2005 0:00,152.7,3.18,16.9,8.1,3.12
7/17/2006 0:00,50.1,1.21,16.7,13.4,3.44
7/18/2006 0:00,63,1.73,16.4,12.5,3.18
7/28/2006 0:00,73.7,1.68,15.4,20.5,2.69
8/10/2007 0:00,129.8,2.83,16.7,8.3,3.12
8/11/2007 0:00,118.1,2.8,17.1,4.6,2.41
8/14/2007 0:00,122.7,2.39,17.3,10.3,3.18
8/22/2007 0:00,73.4,1.86,16.2,17.4,2.81
8/23/2007 0:00,129.3,3.53,16.5,17.4,2.93
8/24/2007 0:00,152.3,3.08,16.4,17.6,2.99
8/25/2007 0:00,180.5,3.57,16.7,6.6,2.75
12/4/2007 0:00,9.2,0.9,16.8,0,4.16
8/1/2008 0:00,185.4,3.88,16.8,7.2,2.81
8/2/2008 0:00,176.6,3.83,16.7,8.5,3.12
8/3/2008 0:00,171.3,3.68,16.2,11.1,2.69
8/4/2008 0:00,171.1,3.4,16.1,22.1,2.87
8/5/2008 0:00,176.4,3.13,16,14.6,2.81
8/12/2010 0:00,110,2.68,14.4,14.6,2.57
8/20/2010 0:00,137.1,2.52,16.4,18.5,2.75
10/10/2011 0:00,37.6,1.28,16.9,0.6,3.65
10/11/2011 0:00,37.2,1.11,17.2,1.1,3.87
10/12/2011 0:00,39.3,1.24,17.2,4.3,4.01
6/25/2012 0:00,36.8,1.14,17.8,10.2,2.93
6/27/2012 0:00,38.9,1.23,18.7,6.2,3.05
8/2/2012 0:00,185.8,3.44,18.4,6.9,2.69
8/2/2012 0:00,165.7,3.44,18.4,6.9,2.69
8/2/2012 0:00,192,3.44,18.4,6.9,2.69
8/2/2012 0:00,139.2,3.44,18.4,6.9,2.69
8/2/2012 0:00,143.3,3.44,18.4,6.9,2.69
8/2/2012 0:00,175.1,3.44,18.4,6.9,2.69
8/2/2012 0:00,179.5,3.95,18.4,6.9,2.69
8/2/2012 0:00,127.1,2.31,18.4,6.9,2.69
8/2/2012 0:00,177.2,3.69,18.4,6.9,2.69
