Date,Discharge,Temperature,Rainfall,ETo
1/1/1990 0:00,5.907,16.47,0,3.957387353
1/2/1990 0:00,5.907,16.77,0,3.957387353
1/3/1990 0:00,5.907,16.42,0,3.864712093
1/4/1990 0:00,6.44,16.28,0,3.957387353
1/5/1990 0:00,6.717,15.77,0,4.051383384
1/6/1990 0:00,5.907,16.37,0,4.051383384
1/7/1990 0:00,5.907,15.59,0,3.773351357
1/8/1990 0:00,5.65,15.61,0,3.683298873
1/9/1990 0:00,5.65,16.27,1,4.051383384
1/10/1990 0:00,5.4,15.91,0,3.864712093
1/11/1990 0:00,5.157,15.57,1,3.957387353
1/12/1990 0:00,5.157,15.49,0,4.051383384
1/13/1990 0:00,5.157,16.42,0,4.146706401
1/14/1990 0:00,4.92,16.17,0,4.051383384
1/15/1990 0:00,4.92,16.36,0.1,4.051383384
1/16/1990 0:00,4.92,16.51,0,4.051383384
1/17/1990 0:00,4.69,16.74,0,4.146706401
1/18/1990 0:00,4.69,16.07,0,3.957387353
1/19/1990 0:00,4.69,16.26,0,4.146706401
1/20/1990 0:00,4.69,16.48,0,4.051383384
1/21/1990 0:00,4.69,16.86,0,4.051383384
1/22/1990 0:00,4.69,16.61,0,4.051383384
1/23/1990 0:00,4.69,15.94,0,4.051383384
1/24/1990 0:00,4.466,17.15,0,4.24336259
1/25/1990 0:00,4.249,17,0.2,4.341358109
1/26/1990 0:00,4.466,16.89,0,4.24336259
1/27/1990 0:00,4.249,16.11,0,4.146706401
1/28/1990 0:00,4.249,16.32,0,4.24336259
1/29/1990 0:00,4.249,16.74,0,4.341358109
1/30/1990 0:00,4.249,16.19,0.2,3.957387353
1/31/1990 0:00,4.249,16.27,0.1,3.957387353
2/1/1990 0:00,4.69,17.14,0,3.957387353
2/2/1990 0:00,4.69,17.15,0.4,4.051383384
2/3/1990 0:00,4.69,17.29,0,3.864712093
2/4/1990 0:00,4.249,16.67,0,4.051383384
2/5/1990 0:00,4.249,16.57,0,3.864712093
2/6/1990 0:00,4.038,16.59,0,3.864712093
2/7/1990 0:00,4.038,16.48,0,3.507093406
2/8/1990 0:00,4.038,16.81,0,3.683298873
2/9/1990 0:00,3.833,16.27,0,3.594548334
2/10/1990 0:00,3.833,16.55,0,3.864712093
2/11/1990 0:00,3.635,16.49,0,4.051383384
2/12/1990 0:00,3.635,16.46,0,4.146706401
2/13/1990 0:00,3.635,16.69,0,4.24336259
2/14/1990 0:00,3.635,17.17,0,4.24336259
2/15/1990 0:00,3.635,16.94,0,4.146706401
2/16/1990 0:00,3.635,16.98,0,4.341358109
2/17/1990 0:00,3.442,17.63,0,4.341358109
2/18/1990 0:00,3.442,17.21,0,4.24336259
2/19/1990 0:00,3.256,17.18,0,4.24336259
2/20/1990 0:00,3.076,16.71,0,4.146706401
2/21/1990 0:00,3.076,16.64,0,3.957387353
2/22/1990 0:00,3.076,16.39,0,3.864712093
2/23/1990 0:00,3.076,16.65,0,3.773351357
2/24/1990 0:00,2.901,17.5,0,3.957387353
2/25/1990 0:00,2.733,16.9,0,3.957387353
2/26/1990 0:00,2.733,17.31,0,3.957387353
2/27/1990 0:00,2.733,16.47,0,3.957387353
2/28/1990 0:00,2.733,17,0,4.051383384
3/1/1990 0:00,2.733,18.22,0.1,4.24336259
3/2/1990 0:00,2.733,17.26,1.5,4.24336259
3/3/1990 0:00,2.733,18.03,0,4.341358109
3/4/1990 0:00,2.901,18.97,0,4.341358109
3/5/1990 0:00,2.733,17.55,9.5,4.341358109
3/6/1990 0:00,2.733,18.16,0,4.24336259
3/7/1990 0:00,2.733,17.72,4,3.773351357
3/8/1990 0:00,2.733,17.86,0.1,4.146706401
3/9/1990 0:00,2.571,17.79,2.6,3.957387353
3/10/1990 0:00,2.901,17.81,1.4,4.341358109
3/11/1990 0:00,2.901,18.19,1.4,4.146706401
3/12/1990 0:00,2.733,17.76,0.2,4.341358109
3/13/1990 0:00,2.733,18.83,3.1,4.541391628
3/14/1990 0:00,2.733,18.43,0.2,4.957798497
3/15/1990 0:00,2.571,18.36,4,4.746855667
3/16/1990 0:00,2.733,18.76,3.5,4.746855667
3/17/1990 0:00,2.733,18,3.4,4.746855667
3/18/1990 0:00,2.571,19.5,1.6,4.851639232
3/19/1990 0:00,2.571,19.09,0.4,5.17426797
3/20/1990 0:00,2.571,19.65,12,4.957798497
3/21/1990 0:00,2.571,19.27,0.2,4.746855667
3/22/1990 0:00,2.414,18.81,0.2,5.065339428
3/23/1990 0:00,2.414,17.43,0.3,4.851639232
3/24/1990 0:00,2.414,17.65,1.5,4.957798497
3/25/1990 0:00,2.414,18.96,0.5,4.957798497
3/26/1990 0:00,2.263,17.82,0,4.851639232
3/27/1990 0:00,2.414,18.5,0.2,4.957798497
3/28/1990 0:00,2.414,18.21,0,4.851639232
3/29/1990 0:00,2.571,18.56,0,4.746855667
3/30/1990 0:00,2.571,17.49,0,4.341358109
3/31/1990 0:00,2.414,18.24,0,4.746855667
4/1/1990 0:00,2.414,19.35,3.5,4.341358109
4/2/1990 0:00,2.118,18.71,1.1,4.541391628
4/3/1990 0:00,2.118,19.28,0.4,4.746855667
4/4/1990 0:00,2.118,19.34,0.4,4.643441806
4/5/1990 0:00,2.118,18.59,3.2,4.643441806
4/6/1990 0:00,2.118,20.18,2.1,4.541391628
4/7/1990 0:00,1.978,19.91,0.7,4.24336259
4/8/1990 0:00,1.978,20.66,2.8,4.24336259
4/9/1990 0:00,1.978,19.87,1.5,4.440699088
4/10/1990 0:00,1.844,20.14,2.8,4.746855667
4/11/1990 0:00,1.978,20.36,1.5,5.065339428
4/12/1990 0:00,1.844,20.24,0,5.065339428
4/13/1990 0:00,1.844,20.53,3.8,4.851639232
4/14/1990 0:00,1.844,20.8,0.6,5.065339428
4/15/1990 0:00,1.716,20.95,1.5,4.957798497
4/16/1990 0:00,1.844,21.66,3.3,4.957798497
4/17/1990 0:00,2.118,20.69,3.5,4.957798497
4/18/1990 0:00,1.978,20.31,0.7,4.957798497
4/19/1990 0:00,1.978,20.15,3.6,4.851639232
4/20/1990 0:00,2.118,19.43,0.6,4.746855667
4/21/1990 0:00,2.118,19.81,4.4,4.957798497
4/22/1990 0:00,1.978,19.35,0.8,5.17426797
4/23/1990 0:00,1.844,19.36,4.4,4.957798497
4/24/1990 0:00,1.844,18.79,7.2,4.643441806
4/25/1990 0:00,1.844,18.76,1.5,4.643441806
4/26/1990 0:00,1.844,19.34,0.9,4.146706401
4/27/1990 0:00,1.844,19.65,0.9,4.146706401
4/28/1990 0:00,1.844,20.2,0,4.051383384
4/29/1990 0:00,2.118,19.98,0.9,4.440699088
4/30/1990 0:00,1.844,19.66,0.3,4.541391628
5/1/1990 0:00,2.118,20.12,1.7,4.24336259
5/2/1990 0:00,2.118,20.7,1.3,4.341358109
5/3/1990 0:00,2.414,20.96,6.4,4.440699088
5/4/1990 0:00,2.414,20.52,1.2,4.643441806
5/5/1990 0:00,3.076,21.13,8.3,4.541391628
5/6/1990 0:00,3.076,21.08,5.7,4.746855667
5/7/1990 0:00,2.733,20.86,6.3,4.146706401
5/8/1990 0:00,2.733,20.02,1.3,3.957387353
