Date,Discharge,Temperature,Rainfall,ETo
1/1/1990 0:00,3.93,13.75,0,2.69
1/2/1990 0:00,4.06,13.75,0,2.69
1/3/1990 0:00,3.56,14.25,0,2.69
1/4/1990 0:00,3.79,13.75,0,2.69
1/5/1990 0:00,3.97,13.9,0,2.69
1/6/1990 0:00,3.51,14.65,0,2.69
1/7/1990 0:00,3.4,13.9,0,2.69
1/8/1990 0:00,2.83,13.9,0,2.69
1/9/1990 0:00,2.79,13.75,0,2.69
1/10/1990 0:00,2.79,13.65,0,2.69
1/11/1990 0:00,2.76,14.25,0,2.69
1/12/1990 0:00,2.92,13.65,0,2.69
1/13/1990 0:00,2.78,14.65,0,2.69
1/14/1990 0:00,2.52,14.2,0,2.69
1/15/1990 0:00,2.44,14.65,0,2.69
1/16/1990 0:00,2.21,14.85,0,2.69
1/17/1990 0:00,2.12,14.2,0,2.69
1/18/1990 0:00,2.08,14.85,0,2.69
1/19/1990 0:00,1.58,14.25,0,2.69
1/20/1990 0:00,1.43,14.2,0,2.69
1/21/1990 0:00,1.53,14.25,0,2.69
1/22/1990 0:00,1.67,14.85,0,2.69
1/23/1990 0:00,1.35,14.85,0,2.69
1/24/1990 0:00,1.38,14.25,0,2.69
1/25/1990 0:00,1.43,14.85,0,2.69
1/26/1990 0:00,1.69,14.85,0,2.69
1/27/1990 0:00,2.13,14.25,0,2.69
1/28/1990 0:00,1.59,14.85,0,2.69
1/29/1990 0:00,1.4,14.85,0,2.69
1/30/1990 0:00,1.3,13.9,0,2.69
1/31/1990 0:00,1.28,14.2,0,2.69
2/1/1990 0:00,1.24,15.55,0,2.99
2/2/1990 0:00,1.28,15.55,0,2.99
2/3/1990 0:00,1.27,14.9,0,2.99
2/4/1990 0:00,1.18,15.55,0,2.99
2/5/1990 0:00,1.09,15.25,0,2.99
2/6/1990 0:00,1.07,14.75,0,2.99
2/7/1990 0:00,1.06,15.95,0,2.99
2/8/1990 0:00,0.99,15.95,0,2.99
2/9/1990 0:00,0.97,15.55,0,2.99
2/10/1990 0:00,0.97,14.5,0,2.99
2/11/1990 0:00,0.98,17.15,0,2.99
2/12/1990 0:00,1.01,14.5,0,2.99
2/13/1990 0:00,0.96,14.75,0,2.99
2/14/1990 0:00,0.83,15.35,0,2.99
2/15/1990 0:00,0.89,14.75,0,2.99
2/16/1990 0:00,1.02,15.65,0,2.99
2/17/1990 0:00,0.9,14.9,0,2.99
2/18/1990 0:00,0.86,15.65,0,2.99
2/19/1990 0:00,0.74,14.9,0,2.99
2/20/1990 0:00,0.74,14.9,0,2.99
2/21/1990 0:00,0.72,14.9,0,2.99
2/22/1990 0:00,0.74,15.65,0,2.99
2/23/1990 0:00,0.71,15.65,0,2.99
2/24/1990 0:00,0.66,15.25,0,2.99
2/25/1990 0:00,0.75,15.65,0,2.99
2/26/1990 0:00,0.65,15.65,0,2.99
2/27/1990 0:00,0.63,14.9,0,2.99
2/28/1990 0:00,0.62,15.65,0,2.99
3/1/1990 0:00,0.58,16.6,0,2.99
3/2/1990 0:00,0.63,16.6,0,2.99
3/3/1990 0:00,0.69,17.2,0,2.99
3/4/1990 0:00,0.63,16.6,0,2.99
3/5/1990 0:00,0.58,16.2,0,2.99
3/6/1990 0:00,0.61,16.5,0,2.99
3/7/1990 0:00,0.56,16.5,0,2.99
3/8/1990 0:00,0.5,16.5,0.1,2.99
3/9/1990 0:00,0.5,16.6,0,2.99
3/10/1990 0:00,0.53,16.25,0,2.99
3/11/1990 0:00,0.44,17.25,0,2.99
3/12/1990 0:00,0.44,16.25,0,2.99
3/13/1990 0:00,0.52,16.5,0.08,2.99
3/14/1990 0:00,0.62,17.75,0.08,2.99
3/15/1990 0:00,0.63,16.5,0.48,2.99
3/16/1990 0:00,0.62,16,0.48,2.99
3/17/1990 0:00,0.78,15.75,3.2,2.99
3/18/1990 0:00,0.85,16,2.78,2.99
3/19/1990 0:00,0.72,17.2,7.82,2.99
3/20/1990 0:00,0.63,15.75,4.78,2.99
3/21/1990 0:00,0.52,17.2,0.18,2.99
3/22/1990 0:00,0.45,16,0,2.99
3/23/1990 0:00,0.55,16,0,2.99
3/24/1990 0:00,0.63,16.1,3.2,2.99
3/25/1990 0:00,0.7,16,0.96,2.99
3/26/1990 0:00,0.69,16,0,2.99
3/27/1990 0:00,0.59,17.2,0,2.99
3/28/1990 0:00,0.67,16,0,2.99
3/29/1990 0:00,0.56,16,0,2.99
3/30/1990 0:00,0.64,16.2,0,2.99
3/31/1990 0:00,0.75,17.75,0,2.99
4/1/1990 0:00,0.64,17.25,0,2.99
4/2/1990 0:00,0.55,17.25,0,2.99
4/3/1990 0:00,0.6,17.95,0,2.99
4/4/1990 0:00,0.5,17.25,0,2.99
4/5/1990 0:00,0.48,17.35,0.8,2.99
4/6/1990 0:00,0.58,17.75,0.8,2.99
4/7/1990 0:00,0.6,17.75,0.8,2.99
4/8/1990 0:00,0.45,17.75,0,2.99
4/9/1990 0:00,0.45,17.25,0,2.99
4/10/1990 0:00,0.43,16.25,0,2.99
4/11/1990 0:00,0.39,18.65,0,2.99
4/12/1990 0:00,0.37,16.25,0,2.99
4/13/1990 0:00,0.36,17.75,0,2.99
4/14/1990 0:00,0.35,17.5,0,2.99
4/15/1990 0:00,0.39,17.75,0.26,2.99
4/16/1990 0:00,0.42,18.15,0.26,2.99
4/17/1990 0:00,0.42,16.65,0,2.99
4/18/1990 0:00,0.37,18.15,0.56,2.99
4/19/1990 0:00,0.32,17.95,1.52,2.99
4/20/1990 0:00,0.36,16.65,0.26,2.99
4/21/1990 0:00,0.36,17.95,0,2.99
4/22/1990 0:00,0.31,18.15,0,2.99
4/23/1990 0:00,0.27,18.15,6.98,2.99
4/24/1990 0:00,0.3,18,4.54,2.99
4/25/1990 0:00,0.27,18.15,2.12,2.99
4/26/1990 0:00,0.3,18.15,2.12,2.99
4/27/1990 0:00,0.27,17.95,2.74,2.99
4/28/1990 0:00,0.3,18.15,0.12,2.99
4/29/1990 0:00,0.32,18.15,0.12,2.99
4/30/1990 0:00,0.4,17.35,0.12,2.99
5/1/1990 0:00,0.34,17.3,0.46,2.69
5/2/1990 0:00,0.4,17.3,0.46,2.69
5/3/1990 0:00,0.39,17.55,2.94,2.69
5/4/1990 0:00,0.46,17.3,0.46,2.69
5/5/1990 0:00,0.44,17.45,1.28,2.69
5/6/1990 0:00,0.53,17.9,0.46,2.69
5/7/1990 0:00,0.64,16.8,2.3,2.69
5/8/1990 0:00,0.58,16.8,1.14,2.69
5/9/1990 0:00,0.6,17.3,1.74,2.69
5/10/1990 0:00,0.52,18.3,7.4,2.69
5/11/1990 0:00,0.61,17,6,2.69
5/12/1990 0:00,0.62,18.3,0.46,2.69
5/13/1990 0:00,0.55,17.9,0.46,2.69
5/14/1990 0:00,0.45,17.5,1.06,2.69
5/15/1990 0:00,0.48,17.9,0.46,2.69
5/16/1990 0:00,0.49,16.7,1.16,2.69
5/17/1990 0:00,0.48,17.7,1.16,2.69
5/18/1990 0:00,0.43,16.7,1.08,2.69
5/19/1990 0:00,0.39,17.55,1.26,2.69
5/20/1990 0:00,0.38,17.7,0.46,2.69
5/21/1990 0:00,0.41,17.55,0.46,2.69
5/22/1990 0:00,0.38,16.7,1.4,2.69
5/23/1990 0:00,0.41,16.7,1.46,2.69
5/24/1990 0:00,0.39,18.05,4.98,2.69
5/25/1990 0:00,0.31,16.7,0.82,2.69
5/26/1990 0:00,0.33,16.7,0.82,2.69
5/27/1990 0:00,0.79,17.55,0.46,2.69
5/28/1990 0:00,1.12,16.7,0.46,2.69
5/29/1990 0:00,1.07,16.7,0.46,2.69
5/30/1990 0:00,0.92,17.45,0.94,2.69
5/31/1990 0:00,0.8,17.5,0.94,2.69
6/1/1990 0:00,1.19,17.7,0.6,2.14
6/2/1990 0:00,1.15,17.7,0.32,2.14
6/3/1990 0:00,0.88,16.9,0.72,2.14
6/4/1990 0:00,0.68,17.7,2.72,2.14
6/5/1990 0:00,0.79,17.4,0.52,2.14
6/6/1990 0:00,1.11,17.85,0.94,2.14
6/7/1990 0:00,1.07,16.8,0.94,2.14
6/8/1990 0:00,1.06,16.8,4.54,2.14
6/9/1990 0:00,1.43,17.7,3.38,2.14
6/10/1990 0:00,1.14,17.9,0.84,2.14
6/11/1990 0:00,1.11,16.9,5.46,2.14
6/12/1990 0:00,0.81,17.9,2.72,2.14
6/13/1990 0:00,0.6,17.85,2.96,2.14
6/14/1990 0:00,0.51,16.8,2.28,2.14
6/15/1990 0:00,0.51,17.85,3.78,2.14
6/16/1990 0:00,0.52,16.8,10.48,2.14
6/17/1990 0:00,0.62,16.4,10.52,2.14
6/18/1990 0:00,0.52,16.8,1.72,2.14
6/19/1990 0:00,0.51,16.9,2.02,2.14
6/20/1990 0:00,0.52,16.4,1.8,2.14
6/21/1990 0:00,0.68,16.9,4.28,2.14
6/22/1990 0:00,0.7,16.8,5.04,2.14
6/23/1990 0:00,0.6,16.8,0.98,2.14
6/24/1990 0:00,0.59,16.9,2.84,2.14
