Date,Discharge,Temperature,Rainfall,ETo
1/1/1990 0:00,3.93,13.75,0,2.587506096
1/2/1990 0:00,4.06,13.75,0,2.871948297
1/3/1990 0:00,3.56,14.25,0,2.965490265
1/4/1990 0:00,3.79,13.75,0,2.949774926
1/5/1990 0:00,3.97,13.9,0,2.871948297
1/6/1990 0:00,3.51,14.65,0,3.307173595
1/7/1990 0:00,3.4,13.9,0,2.751517556
1/8/1990 0:00,2.83,13.9,0,3.109190473
1/9/1990 0:00,2.79,13.75,0,3.190792638
1/10/1990 0:00,2.79,13.65,0,2.72002394
1/11/1990 0:00,2.76,14.25,0,2.72002394
1/12/1990 0:00,2.92,13.65,0,2.949774926
1/13/1990 0:00,2.78,14.65,0,3.125409485
1/14/1990 0:00,2.52,14.2,0,3.109190473
1/15/1990 0:00,2.44,14.65,0,3.125409485
1/16/1990 0:00,2.21,14.85,0,2.871948297
1/17/1990 0:00,2.12,14.2,0,3.028853438
1/18/1990 0:00,2.08,14.85,0,3.190792638
1/19/1990 0:00,1.58,14.25,0,3.273666506
1/20/1990 0:00,1.43,14.2,0,2.72002394
1/21/1990 0:00,1.53,14.25,0,2.871948297
1/22/1990 0:00,1.67,14.85,0,3.635770698
1/23/1990 0:00,1.35,14.85,0,2.161048315
1/24/1990 0:00,1.38,14.25,0,3.273666506
1/25/1990 0:00,1.43,14.85,0,3.207265466
1/26/1990 0:00,1.69,14.85,0,3.109190473
1/27/1990 0:00,2.13,14.25,0,2.871948297
1/28/1990 0:00,1.59,14.85,0,3.028853438
1/29/1990 0:00,1.4,14.85,0,3.028853438
1/30/1990 0:00,1.3,13.9,0,4.116043436
1/31/1990 0:00,1.28,14.2,0,3.547484667
2/1/1990 0:00,1.24,15.55,0,3.67145025
2/2/1990 0:00,1.28,15.55,0,4.13523242
2/3/1990 0:00,1.27,14.9,0,3.761565549
2/4/1990 0:00,1.18,15.55,0,3.495136951
2/5/1990 0:00,1.09,15.25,0,3.761565549
2/6/1990 0:00,1.07,14.75,0,3.67145025
2/7/1990 0:00,1.06,15.95,0,3.256989682
2/8/1990 0:00,0.99,15.95,0,3.495136951
2/9/1990 0:00,0.97,15.55,0,3.852995103
2/10/1990 0:00,0.97,14.5,0,3.495136951
2/11/1990 0:00,0.98,17.15,0,3.945745239
2/12/1990 0:00,1.01,14.5,0,3.761565549
2/13/1990 0:00,0.96,14.75,0,3.761565549
2/14/1990 0:00,0.83,15.35,0,3.761565549
2/15/1990 0:00,0.89,14.75,0,3.761565549
2/16/1990 0:00,1.02,15.65,0,3.67145025
2/17/1990 0:00,0.9,14.9,0,2.997071382
2/18/1990 0:00,0.86,15.65,0,3.582642847
