Date,Discharge,Temperature,Rainfall,ETo
1/1/1990 0:00,5.907,16.47,0,3.344298626
1/2/1990 0:00,5.907,16.77,0,3.412478082
1/3/1990 0:00,5.907,16.42,0,3.438258474
1/4/1990 0:00,6.44,16.28,0,3.386814022
1/5/1990 0:00,6.717,15.77,0,3.455510116
1/6/1990 0:00,5.907,16.37,0,3.243573234
1/7/1990 0:00,5.907,15.59,0,3.243573234
1/8/1990 0:00,5.65,15.61,0,3.210408108
1/9/1990 0:00,5.65,16.27,1,3.327382629
1/10/1990 0:00,5.4,15.91,0,3.378285156
1/11/1990 0:00,5.157,15.57,1,3.455510116
1/12/1990 0:00,5.157,15.49,0,3.498866105
1/13/1990 0:00,5.157,16.42,0,3.481484783
1/14/1990 0:00,4.92,16.17,0,3.455510116
1/15/1990 0:00,4.92,16.36,0.1,3.455510116
1/16/1990 0:00,4.92,16.51,0,3.675545745
1/17/1990 0:00,4.69,16.74,0,3.857472999
1/18/1990 0:00,4.69,16.07,0,3.586553177
1/19/1990 0:00,4.69,16.26,0,3.243573234
1/20/1990 0:00,4.69,16.48,0,3.369769191
1/21/1990 0:00,4.69,16.86,0,3.243573234
1/22/1990 0:00,4.69,16.61,0,3.412478082
1/23/1990 0:00,4.69,15.94,0,3.793198346
1/24/1990 0:00,4.466,17.15,0,3.997392856
1/25/1990 0:00,4.249,17,0.2,3.811496427
1/26/1990 0:00,4.466,16.89,0,3.630885872
1/27/1990 0:00,4.249,16.11,0,3.675545745
1/28/1990 0:00,4.249,16.32,0,3.857472999
1/29/1990 0:00,4.249,16.74,0,3.997392856
1/30/1990 0:00,4.249,16.19,0.2,3.498866105
1/31/1990 0:00,4.249,16.27,0.1,3.104030225
2/1/1990 0:00,4.69,17.14,0,3.950420423
2/2/1990 0:00,4.69,17.15,0.4,4.044698819
2/3/1990 0:00,4.69,17.29,0,4.035210906
2/4/1990 0:00,4.249,16.67,0,4.121084065
2/5/1990 0:00,4.249,16.57,0,4.140314479
2/6/1990 0:00,4.038,16.59,0,4.044698819
2/7/1990 0:00,4.038,16.48,0,4.092339099
2/8/1990 0:00,4.038,16.81,0,4.188625742
2/9/1990 0:00,3.833,16.27,0,4.29609667
2/10/1990 0:00,3.833,16.55,0,4.435247541
2/11/1990 0:00,3.635,16.49,0,3.684517051
2/12/1990 0:00,3.635,16.46,0,3.421058611
2/13/1990 0:00,3.635,16.69,0,3.88521785
2/14/1990 0:00,3.635,17.17,0,3.969169423
2/15/1990 0:00,3.635,16.94,0,3.978563903
2/16/1990 0:00,3.635,16.98,0,4.33558262
2/17/1990 0:00,3.442,17.63,0,4.365339438
2/18/1990 0:00,3.442,17.21,0,4.256827279
2/19/1990 0:00,3.256,17.18,0,4.385245198
2/20/1990 0:00,3.076,16.71,0,4.485590422
2/21/1990 0:00,3.076,16.64,0,4.435247541
2/22/1990 0:00,3.076,16.39,0,4.385245198
2/23/1990 0:00,3.076,16.65,0,3.997392856
2/24/1990 0:00,2.901,17.5,0,4.044698819
2/25/1990 0:00,2.733,16.9,0,3.857472999
2/26/1990 0:00,2.733,17.31,0,3.675545745
2/27/1990 0:00,2.733,16.47,0,4.044698819
2/28/1990 0:00,2.733,17,0,3.997392856
3/1/1990 0:00,2.733,18.22,0.1,4.385245198
3/2/1990 0:00,2.733,17.26,1.5,4.140314479
3/3/1990 0:00,2.733,18.03,0,4.276434929
3/4/1990 0:00,2.901,18.97,0,4.365339438
3/5/1990 0:00,2.733,17.55,9.5,4.546452471
3/6/1990 0:00,2.733,18.16,0,4.69038268
3/7/1990 0:00,2.733,17.72,4,4.20804447
3/8/1990 0:00,2.733,17.86,0.1,4.188625742
3/9/1990 0:00,2.571,17.79,2.6,4.092339099
3/10/1990 0:00,2.901,17.81,1.4,4.188625742
3/11/1990 0:00,2.901,18.19,1.4,4.345487992
3/12/1990 0:00,2.733,17.76,0.2,4.33558262
3/13/1990 0:00,2.733,18.83,3.1,4.415205783
3/14/1990 0:00,2.733,18.43,0.2,4.33558262
3/15/1990 0:00,2.571,18.36,4,4.435247541
3/16/1990 0:00,2.733,18.76,3.5,4.638669973
3/17/1990 0:00,2.733,18,3.4,4.794841959
3/18/1990 0:00,2.571,19.5,1.6,5.06205643
3/19/1990 0:00,2.571,19.09,0.4,4.900684789
3/20/1990 0:00,2.571,19.65,12,4.044698819
3/21/1990 0:00,2.571,19.27,0.2,4.159598635
3/22/1990 0:00,2.414,18.81,0.2,4.092339099
3/23/1990 0:00,2.414,17.43,0.3,4.044698819
3/24/1990 0:00,2.414,17.65,1.5,4.58730087
3/25/1990 0:00,2.414,18.96,0.5,4.742439755
3/26/1990 0:00,2.263,17.82,0,4.006827341
3/27/1990 0:00,2.414,18.5,0.2,4.58730087
3/28/1990 0:00,2.414,18.21,0,4.784333871
3/29/1990 0:00,2.571,18.56,0,4.847590051
3/30/1990 0:00,2.571,17.49,0,4.69038268
3/31/1990 0:00,2.414,18.24,0,4.515959928
4/1/1990 0:00,2.414,19.35,3.5,3.997392856
4/2/1990 0:00,2.118,18.71,1.1,3.630885872
4/3/1990 0:00,2.118,19.28,0.4,4.385245198
4/4/1990 0:00,2.118,19.34,0.4,4.465412356
4/5/1990 0:00,2.118,18.59,3.2,4.742439755
4/6/1990 0:00,2.118,20.18,2.1,4.721575552
4/7/1990 0:00,1.978,19.91,0.7,4.556644022
4/8/1990 0:00,1.978,20.66,2.8,4.868786306
4/9/1990 0:00,1.978,19.87,1.5,4.900684789
4/10/1990 0:00,1.844,20.14,2.8,5.28211734
4/11/1990 0:00,1.978,20.36,1.5,4.954126928
4/12/1990 0:00,1.844,20.24,0,5.394260703
4/13/1990 0:00,1.844,20.53,3.8,4.385245198
4/14/1990 0:00,1.844,20.8,0.6,4.638669973
4/15/1990 0:00,1.716,20.95,1.5,4.794841959
4/16/1990 0:00,1.844,21.66,3.3,4.847590051
4/17/1990 0:00,2.118,20.69,3.5,5.06205643
4/18/1990 0:00,1.978,20.31,0.7,5.17138457
4/19/1990 0:00,1.978,20.15,3.6,4.711164143
4/20/1990 0:00,2.118,19.43,0.6,4.536274609
4/21/1990 0:00,2.118,19.81,4.4,4.986359279
4/22/1990 0:00,1.978,19.35,0.8,4.932708336
4/23/1990 0:00,1.844,19.36,4.4,4.188625742
4/24/1990 0:00,1.844,18.79,7.2,4.794841959
4/25/1990 0:00,1.844,18.76,1.5,4.485590422
4/26/1990 0:00,1.844,19.34,0.9,3.997392856
4/27/1990 0:00,1.844,19.65,0.9,4.435247541
4/28/1990 0:00,1.844,20.2,0,4.286259035
4/29/1990 0:00,2.118,19.98,0.9,4.784333871
4/30/1990 0:00,1.844,19.66,0.3,4.868786306
5/1/1990 0:00,2.118,20.12,1.7,4.485590422
5/2/1990 0:00,2.118,20.7,1.3,4.648985001
5/3/1990 0:00,2.414,20.96,6.4,4.837012725
5/4/1990 0:00,2.414,20.52,1.2,5.237655294
5/5/1990 0:00,3.076,21.13,8.3,4.505823097
5/6/1990 0:00,3.076,21.08,5.7,4.964857111
5/7/1990 0:00,2.733,20.86,6.3,4.355406929
5/8/1990 0:00,2.733,20.02,1.3,4.365339438
5/9/1990 0:00,2.733,19.59,3.1,3.913082091
5/10/1990 0:00,7.893,18.95,15.7,4.130692558
5/11/1990 0:00,6.717,20.66,3.6,4.638669973
5/12/1990 0:00,6.717,20.1,3.1,4.763359178
5/13/1990 0:00,4.038,20.36,3.4,4.266624346
5/14/1990 0:00,3.076,20.4,6.8,4.618081142
5/15/1990 0:00,3.833,20.24,9.8,4.536274609
5/16/1990 0:00,2.733,20.37,3.3,5.116545295
5/17/1990 0:00,2.414,20.33,3.3,4.415205783
5/18/1990 0:00,2.414,20.07,0.6,4.435247541
5/19/1990 0:00,2.733,21.05,8.5,3.950420423
5/20/1990 0:00,3.442,20.88,3.9,3.997392856
5/21/1990 0:00,2.733,20.2,1.7,4.29609667
5/22/1990 0:00,2.414,20.3,1.3,4.638669973
5/23/1990 0:00,2.118,20.85,1.4,4.536274609
5/24/1990 0:00,2.118,20.85,3.2,4.435247541
5/25/1990 0:00,1.844,20.7,0.3,4.742439755
5/26/1990 0:00,1.716,20.87,5.5,5.127485093
5/27/1990 0:00,1.716,20.59,1.9,4.986359279
5/28/1990 0:00,1.593,19.55,4,4.847590051
5/29/1990 0:00,1.593,20.34,4.9,4.900684789
5/30/1990 0:00,1.716,19.73,13.6,4.794841959
5/31/1990 0:00,1.716,18.85,9,3.738620749
6/1/1990 0:00,2.118,18.46,7.7,3.455510116
6/2/1990 0:00,3.256,17.91,11.1,3.039633218
6/3/1990 0:00,7.291,18.1,7.7,2.999795781
6/4/1990 0:00,12.112,17.52,9,3.039633218
6/5/1990 0:00,7.589,17.25,4.2,3.369769191
6/6/1990 0:00,4.249,18.19,3.1,3.997392856
6/7/1990 0:00,3.076,18.44,2.4,3.997392856
6/8/1990 0:00,2.414,17.71,1.8,4.237273668
6/9/1990 0:00,2.414,18.72,1.9,4.536274609
6/10/1990 0:00,2.263,18.86,2.5,4.805363882
6/11/1990 0:00,3.076,18.42,10.1,4.752892561
6/12/1990 0:00,5.65,18.75,2.3,4.732000754
6/13/1990 0:00,6.717,17.76,5.1,3.839042675
6/14/1990 0:00,18.421,18.11,3.8,3.87595631
6/15/1990 0:00,7.291,18.21,9.4,4.08278426
6/16/1990 0:00,5.907,17.72,8.2,4.19832837
6/17/1990 0:00,10.226,18.25,6.8,4.58730087
6/18/1990 0:00,8.524,17.69,4.8,3.455510116
6/19/1990 0:00,12.512,18.09,25.9,3.327382629
6/20/1990 0:00,13.758,17.23,6.9,3.793198346
6/21/1990 0:00,7.291,17.9,2.4,3.857472999
6/22/1990 0:00,5.65,17.71,11.1,3.327382629
6/23/1990 0:00,7.291,17.72,9.8,3.630885872
6/24/1990 0:00,16.46,17.86,5.8,3.161043353
6/25/1990 0:00,9.871,17.45,4.9,2.960273264
6/26/1990 0:00,18.421,17.7,19.7,2.335755906
6/27/1990 0:00,39.02,17.63,10.6,2.404653124
6/28/1990 0:00,45.616,17.72,30.7,2.546070034
6/29/1990 0:00,90.648,17.4,21.3,3.079786406
6/30/1990 0:00,39.02,16.98,9.9,3.202148765
7/1/1990 0:00,23.902,16.92,17.2,3.516299389
7/2/1990 0:00,25.1,16.37,7.6,3.490168952
7/3/1990 0:00,25.1,16.67,10.5,3.260232542
7/4/1990 0:00,30.238,16.11,16.3,3.455510116
7/5/1990 0:00,33.738,16.49,10.3,3.429652073
7/6/1990 0:00,23.902,16.85,4.1,2.670106061
7/7/1990 0:00,21.609,16.65,13,2.820586815
7/8/1990 0:00,50.964,16.57,14.9,2.383857732
7/9/1990 0:00,35.202,16.55,13.6,2.48892123
7/10/1990 0:00,60.661,16.61,12,2.843586872
7/11/1990 0:00,115.647,16.54,25.2,2.820586815
7/12/1990 0:00,105.501,16.94,30.2,2.897690184
7/13/1990 0:00,94.568,16.94,12.5,3.639791647
7/14/1990 0:00,139.256,16.41,15.5,3.395355794
7/15/1990 0:00,154.67,16.44,4.2,3.193902184
7/16/1990 0:00,90.648,16.71,4.4,3.756760558
7/17/1990 0:00,54.724,16.92,9.4,3.811496427
7/18/1990 0:00,64.82,16.65,24.3,2.729704587
7/19/1990 0:00,131.1,16.34,8.5,2.670106061
7/20/1990 0:00,72.49,16.57,38.3,2.503135482
7/21/1990 0:00,131.1,16.31,12.9,2.582183998
7/22/1990 0:00,217.349,16.08,17.2,2.820586815
7/23/1990 0:00,147.702,16.3,10.5,2.744727696
7/24/1990 0:00,94.568,16.4,2.2,3.136532911
7/25/1990 0:00,69.141,17,32.6,3.542546856
7/26/1990 0:00,248.767,16.07,16.7,3.226965107
7/27/1990 0:00,172.921,16.3,30.1,3.095936278
7/28/1990 0:00,215.199,15.67,9.5,3.302105072
7/29/1990 0:00,154.67,16.36,15.9,3.302105072
