Julian_Day,Season,Sediment_Yield_tons_ha_yr
1,Dry,1.347916154203474
2,Dry,1.3199007002158811
3,Dry,1.265833926736973
4,Dry,1.2389512033473948
5,Dry,1.2209144923027297
6,Dry,1.2108510504937966
7,Dry,1.220401926212159
8,Dry,1.2051299089429282
9,Dry,1.1903101711191069
10,Dry,1.1737481180024814
11,Dry,1.1343219144007446
12,Dry,1.1637760329379654
13,Dry,1.0692442031203475
14,Dry,1.0711085067245658
15,Dry,1.0685688510148885
16,Dry,1.0375134346004964
17,Dry,1.0302869076811416
18,Dry,0.977010964101737
19,Dry,1.0255676507754343
20,Dry,1.0056608943722085
21,Dry,0.9706044303647644
22,Dry,0.9313378560558313
23,Dry,0.9318792587493798
24,Dry,0.993759001057072
25,Dry,0.8871902277431762
26,Dry,0.8817657506017371
27,Dry,0.8471726767071961
28,Dry,0.8283451854751862
29,Dry,0.7811946444975186
30,Dry,0.7457677219317619
31,Dry,0.6965709077679902
32,Dry,0.6732030452828784
33,Dry,0.5708139158188587
34,Dry,0.5260569478213399
35,Dry,0.5198469759602978
36,Dry,0.5613095298461538
37,Dry,0.6249207288908188
38,Dry,0.6796719606774195
39,Dry,0.653755568862283
40,Dry,0.5768695545074441
41,Dry,0.5523323022580646
42,Dry,0.48719002198511174
43,Dry,0.49836665396277924
44,Dry,0.5012316899553351
45,Dry,0.5086779570446651
46,Dry,0.4755945473151365
47,Dry,0.5086941809627792
48,Dry,0.5229274040843673
49,Dry,0.5577635296004964
50,Dry,0.5112795114937966
51,Dry,0.479834223923077
52,Dry,0.455293917926799
53,Dry,0.45838352682134
54,Dry,0.4390517501240695
55,Dry,0.43252021161290327
56,Dry,0.4032867138610422
57,Dry,0.3977009456203474
58,Dry,0.3766677472071961
59,Dry,0.37147005160794044
60,Dry,0.40012809206203476
61,Dry,0.3621366008933003
62,Dry,0.3791341822332507
63,Dry,0.39888597340942933
64,Dry,0.36322932030521093
65,Dry,0.39062040023076927
66,Dry,0.34814131436724566
67,Dry,0.3605808837394541
68,Dry,0.37527541794044667
69,Dry,0.3577047051215881
70,Dry,0.4296347723300248
71,Dry,0.5070901222853598
72,Dry,0.4426470009156328
73,Dry,0.4180481641786601
74,Dry,0.3412616806674938
75,Dry,0.3985986548858561
76,Dry,0.5027767403002482
77,Dry,0.397059065776675
78,Dry,0.3876102295905708
79,Dry,0.3649666963399504
80,Dry,0.3749647098461539
81,Dry,0.33436785059553353
82,Dry,0.3272403378684864
83,Dry,0.3154882876526055
84,Dry,0.3213912762803971
85,Dry,0.41166591128039703
86,Dry,0.3351749168411911
87,Dry,0.2948862410173697
88,Dry,0.33005236294540946
89,Dry,0.34924513379404465
90,Dry,0.3528053055558313
91,Dry,0.33247795055583135
92,Dry,0.2897417143473946
93,Dry,0.28096080007444174
94,Dry,0.28790436716129036
95,Dry,0.2697765940942928
96,Dry,0.28471033965260545
97,Dry,0.29832394332506207
98,Dry,0.29028527064267995
99,Dry,0.32277000749627793
100,Dry,0.36552738557568243
101,Dry,0.540429918923077
102,Dry,0.6438401716377171
103,Dry,0.6051791464615385
104,Dry,0.5792674116104218
105,Dry,0.5436627183647643
106,Dry,0.5312577770620348
107,Dry,0.46848998030024813
108,Dry,0.5524892790521092
109,Dry,0.38974741211166253
110,Dry,0.3638889047791563
111,Dry,0.47492807415632754
112,Dry,0.5566260017791564
113,Dry,0.5107908729305212
114,Dry,0.46041202080893306
115,Dry,0.5338328739900745
116,Dry,0.645724475508685
117,Dry,0.708934206260546
118,Dry,0.6452895899925558
119,Dry,0.6256699124292804
120,Dry,0.8463764370595535
121,Dry,0.9868643933449133
122,Dry,2.169193884565757
123,Dry,1.51151730291067
124,Dry,1.002963111387097
125,Dry,0.9067073615508686
126,Dry,1.331947770789082
127,Dry,2.377720564548387
128,Dry,1.6870874208387097
129,Dry,1.9492493656600498
130,Dry,1.7519536246377172
131,Dry,2.2442760364243184
132,Dry,1.9528556134913153
133,Dry,3.0500404662282876
134,Dry,2.292163581461539
135,Dry,2.169028918317618
136,Dry,1.7612599165347396
137,Dry,1.9650730050223326
138,Dry,2.2929362539950375
139,Dry,2.1493582289776674
140,Dry,2.2490898032456577
141,Dry,2.1027323945099257
142,Dry,2.474934239277916
143,Dry,2.4419474912903225
144,Dry,3.1737270461873446
145,Dry,3.7773003461091816
146,Dry,3.9052322574342435
147,Dry,4.8170237702382135
148,Dry,3.81124735191067
149,Dry,4.53517903826799
150,Dry,4.008680046379653
151,Dry,4.009150887990074
152,Wet,3.5410982868703478
153,Wet,2.996875785344293
154,Wet,3.122384186116005
155,Wet,4.147748224632134
156,Wet,6.041527269917494
157,Wet,4.408895027473325
158,Wet,6.045171780601117
159,Wet,5.4790763336799015
160,Wet,6.396949312548388
161,Wet,6.85993414610546
162,Wet,7.935259170037221
163,Wet,7.631343155512408
164,Wet,6.651252447599256
165,Wet,6.911159835120968
166,Wet,7.713116072436104
167,Wet,6.249864301565137
168,Wet,5.767913859934244
169,Wet,6.020387236189206
170,Wet,7.861568705810174
171,Wet,10.193786264657568
172,Wet,10.394009041058935
173,Wet,11.36370154019293
174,Wet,12.57444935464578
175,Wet,12.64809949933902
176,Wet,13.948261977210297
177,Wet,13.96992540505087
178,Wet,14.927660066082508
179,Wet,15.631077566651987
180,Wet,15.824503102885236
181,Wet,18.30279342651923
182,Wet,19.90419839183747
183,Wet,23.90249793031638
184,Wet,25.207858645118485
185,Wet,21.29914836759305
186,Wet,29.360226127299008
187,Wet,27.25412434265881
188,Wet,26.051721127704717
189,Wet,30.145519601966505
190,Wet,30.86096703965788
191,Wet,26.874941546573822
192,Wet,31.77782632058561
193,Wet,30.565823973710923
194,Wet,31.36643005569231
195,Wet,31.593644775843053
196,Wet,31.452025498135235
197,Wet,37.62231265278536
198,Wet,34.65627323203474
199,Wet,36.07271291836787
200,Wet,41.54350415996278
201,Wet,38.50082833382754
202,Wet,37.95894176929281
203,Wet,44.99430976781018
204,Wet,36.672081812307695
205,Wet,34.48656775429281
206,Wet,39.17373468867246
207,Wet,42.68761910330025
208,Wet,38.044572184289706
209,Wet,39.15671343107941
210,Wet,38.559521310186106
211,Wet,39.276254192326306
212,Wet,40.038579245490084
213,Wet,36.09479445363648
214,Wet,38.833400111292804
215,Wet,35.98491275199938
216,Wet,37.06085322061414
217,Wet,43.66791639709057
218,Wet,41.26330236363834
219,Wet,41.214208565328164
220,Wet,40.66409474527109
221,Wet,44.64976704682445
222,Wet,46.519618373988834
223,Wet,42.089430698988835
224,Wet,40.71146573975807
225,Wet,44.541362377574444
226,Wet,47.711428505620354
227,Wet,47.473472219348636
228,Wet,49.796576561557075
229,Wet,47.22401973422457
230,Wet,42.70443624541563
231,Wet,43.673496245397025
232,Wet,44.38425041221713
233,Wet,42.71939093950683
234,Wet,43.24652536220844
235,Wet,45.7266092548232
236,Wet,43.68842250683002
237,Wet,42.23850493254343
238,Wet,41.76592768122209
239,Wet,38.831664312245664
240,Wet,40.925675695198514
241,Wet,41.15176363384616
242,Wet,43.69390416700683
243,Wet,40.72348398989144
244,Wet,42.918306777189834
245,Wet,44.387059456339955
246,Wet,42.739241381129034
247,Wet,44.52900328150125
248,Wet,46.49195739531328
249,Wet,43.18357025478909
250,Wet,38.85691602355459
251,Wet,42.03025919804591
252,Wet,33.47965283096837
253,Wet,33.331721731218984
254,Wet,31.085822511625313
255,Wet,32.526915224348635
256,Wet,33.20367646592122
257,Wet,32.81356971699008
258,Wet,30.89336534637097
259,Wet,30.41037663478102
260,Wet,32.219070446875314
261,Wet,29.30159426513896
262,Wet,27.826938689382136
263,Wet,26.333970511070103
264,Wet,25.944809656070102
265,Wet,27.818209045831267
266,Wet,27.13903873934181
267,Wet,25.409642306544047
268,Wet,22.473540622066377
269,Wet,22.729908396065138
270,Wet,20.60604837010608
271,Wet,22.37138565353598
272,Wet,21.02224287094169
273,Wet,19.783774749785362
274,Wet,19.59969033735856
275,Wet,18.9018372527866
276,Wet,17.90306155778226
277,Wet,15.979210457220226
278,Wet,13.466090168307693
279,Wet,15.908470075401365
280,Wet,14.614944778105459
281,Wet,11.951074678985732
282,Wet,14.578329013816377
283,Wet,12.834635384780396
284,Wet,13.593028517804592
285,Wet,13.73013552112593
286,Wet,11.36037951658809
287,Wet,10.203044799215881
288,Wet,9.273777684359182
289,Wet,8.824512293888338
290,Wet,8.625902206583747
291,Wet,8.89135090776737
292,Wet,7.59543686740943
293,Wet,7.239348603647643
294,Wet,7.279057469562655
295,Wet,8.36417938294541
296,Wet,8.01342180566129
297,Wet,6.613719378359181
298,Wet,5.943578712638337
299,Wet,6.492012151064517
300,Wet,7.3707510137382135
301,Wet,5.991679802434244
302,Wet,7.072228452802109
303,Wet,7.326060149009925
304,Wet,6.6108672918815135
305,Dry,6.3944259003870965
306,Dry,6.135637964169976
307,Dry,6.399310911833747
308,Dry,5.729568457756824
309,Dry,6.836573102359802
310,Dry,5.764922924851117
311,Dry,5.321936396992556
312,Dry,4.8903547225310176
313,Dry,4.680917557258065
314,Dry,4.9578434024962785
315,Dry,4.756490474650124
316,Dry,4.5915972678759305
317,Dry,4.252112775580645
318,Dry,4.159553149607941
319,Dry,3.8191036590893304
320,Dry,3.8128112236339953
321,Dry,4.177370370818859
322,Dry,3.807271163947891
323,Dry,3.383486163379653
324,Dry,3.295351924436725
325,Dry,3.217826320548387
326,Dry,3.1419991254640203
327,Dry,3.5902710997593057
328,Dry,3.8762337419553354
329,Dry,3.753067341148884
330,Dry,3.6805567602059557
331,Dry,3.2505365624069484
332,Dry,3.1473992685037224
333,Dry,3.2157348270521093
334,Dry,3.364309967985112
335,Dry,2.972131205203474
