Year,Discharge,Annual_Sediment_Load_tons_year,Rainfall,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha
1990,41.80835890410959,1394797.9453200002,4.907123287671233,365,1791.1000000000001,8.382199190625
1991,59.38782191780822,2228008.506984,4.830684931506849,365,1763.2,13.389474200625001
1992,53.84177049180328,1806615.7218000002,4.775956284153006,366,1748.0000000000002,10.857065635817309
1993,62.4801095890411,2264610.669696,4.914520547945205,365,1793.8,13.609439120769231
1994,47.475153424657535,1618762.289544,4.522191780821918,365,1650.6,9.728138759278847
1995,44.548909589041095,1478833.4358720002,4.811506849315069,365,1756.2,8.8872201675
1996,74.41981693989071,2646159.6332880002,5.075409836065574,366,1857.6,15.902401642355771
1997,57.11760821917808,1912670.3288160001,4.997808219178082,365,1824.1999999999998,11.494413033750002
1998,57.639635616438355,1988516.3364000001,4.89945205479452,365,1788.3,11.950218367788462
1999,59.074419178082195,2032861.266432,5.206849315068493,365,1900.5,12.216714341538463
2000,60.46615573770492,2092255.503336,5.1248633879781424,366,1875.7,12.573650861394231
2001,52.81221643835616,1818740.4575760001,4.607397260273973,365,1681.7,10.929930634471155
2002,42.27999726027397,1362767.685696,4.794246575342466,365,1749.9000000000003,8.189709649615384
2003,53.15296712328767,1957732.266312,4.7194520547945205,365,1722.6,11.765217946586539
2004,46.68424590163935,1563878.848032,4.827049180327869,366,1766.7,9.398310384807692
2005,41.29002191780822,1221374.063016,5.364931506849315,365,1958.1999999999998,7.339988359471153
2006,75.30825205479452,2495224.3710528,6.00986301369863,365,2193.6,14.995338768346155
2007,78.86384473972602,2420600.7885768,5.184931506849315,365,1892.5,14.546879739043268
2008,79.9635193715847,2510594.5691253603,5.137978142076503,366,1880.5,15.087707747147599
2009,63.34602816438356,1718170.0719537602,4.940821917808219,365,1803.4,10.32554129779904
2010,71.32449339726027,2118521.08653768,5.274246575342466,365,1925.1000000000001,12.731496914288943
2011,68.87581673972603,1951974.52942536,4.846027397260274,365,1768.8,11.73061616241202
2012,83.57522945355191,3030712.4521886404,4.799726775956285,366,1756.7000000000003,18.21341617901827
2013,82.39953468493151,2919295.14323832,5.180273972602739,365,1890.8,17.54384100503798
2014,79.097801369863,2348724.75346584,5.561643835616438,365,2030.0,14.114932412655289
2015,64.37263638356164,1684161.3933820801,4.666301369863014,365,1703.2,10.121162219844232
2016,69.14512360655738,2011788.3039436801,5.155191256830601,366,1886.7999999999997,12.090073941969232
2017,77.49099284931506,2394607.0083984,5.8304109589041095,365,2128.1,14.390667117778847
2018,69.06781263013698,1969570.0776412801,5.103561643835616,365,1862.7999999999997,11.836358639671154
2019,78.2237453150685,2388683.524536,6.1967123287671235,365,2261.8,14.355069258028847
2020,73.34433743169399,2274388.50280176,5.835519125683061,366,2135.8,13.668200137029809
