Year,Discharge,Rainfall,Sediment_Yield,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha
1990,41.80835890410959,1791.1,18.787323132692308,365,1791.1,18.787323132692308
1991,59.38782191780822,1763.2,29.556916485576924,365,1763.2,29.556916485576924
1992,53.84177049180328,1748.0,23.664882634615385,366,1748.0,23.664882634615385
1993,62.4801095890411,1793.8,29.97586305,365,1793.8,29.97586305
1994,47.475153424657535,1650.6,21.243911278846156,365,1650.6,21.243911278846156
1995,44.548909589041095,1756.2,19.3382373375,365,1756.2,19.3382373375
1996,74.41981693989071,1857.6,35.022610860576926,366,1857.6,35.022610860576926
1997,57.11760821917808,1824.2,25.03307313173077,365,1824.2,25.03307313173077
1998,57.639635616438355,1788.3,26.000806794230773,365,1788.3,26.000806794230773
1999,59.074419178082195,1900.5,26.730441995192308,365,1900.5,26.730441995192308
2000,60.46615573770492,1875.7,27.80326318846154,366,1875.7,27.80326318846154
2001,52.81221643835616,1681.7,23.77541468942308,365,1681.7,23.77541468942308
2002,42.27999726027397,1749.9,17.690911260576925,365,1749.9,17.690911260576925
2003,53.15296712328767,1722.6,25.583089560576923,365,1722.6,25.583089560576923
2004,46.68424590163935,1766.7,20.73871183846154,366,1766.7,20.73871183846154
2005,41.29002191780822,1958.2,15.643281807692308,365,1958.2,15.643281807692308
2006,75.30825205479452,2193.6,33.19033271711539,365,2193.6,33.19033271711539
2007,78.86384473972602,1892.5,32.03988355670192,365,1892.5,32.03988355670192
2008,79.9635193715847,1880.5,33.492048953538465,366,1880.5,33.492048953538465
2009,63.34602816438356,1803.4,22.73590547515385,365,1803.4,22.73590547515385
2010,71.32449339726027,1925.1,27.99112337125962,365,1925.1,27.99112337125962
2011,68.87581673972603,1768.8,25.939415227759618,365,1768.8,25.939415227759618
2012,83.57522945355191,1756.7,41.07175578389423,366,1756.7,41.07175578389423
2013,82.39953468493151,1890.8,38.56577386681731,365,1890.8,38.56577386681731
2014,79.097801369863,2030.0,31.88250446702885,365,2030.0,31.88250446702885
2015,64.37263638356164,1703.2,22.03670687365385,365,1703.2,22.03670687365385
2016,69.14512360655738,1886.8,26.362960695432694,366,1886.8,26.362960695432694
2017,77.49099284931506,2128.1,31.64439604560577,365,2128.1,31.64439604560577
2018,69.06781263013698,1862.8,26.544393316644232,365,1862.8,26.544393316644232
2019,78.2237453150685,2261.8,32.19661898636539,365,2261.8,32.19661898636539
2020,73.34433743169399,2135.8,29.517709970682695,366,2135.8,29.517709970682695
