,Discharge,Sediment_Load_tonnes_day,Rainfall,Monthly_Sediment_Yield_tons_ha
1990-01-01,2.3941935483870966,3601.0267200000003,0.0,0.025832329411764707
1990-02-01,0.9117857142857143,1223.3553120000001,0.0,0.008775863070301293
1990-03-01,0.606774193548387,888.859008,24.14,0.00637632
1990-04-01,0.4043333333333334,572.7879360000001,24.12,0.0041089521951219515
1990-05-01,0.5390322580645162,801.6550560000001,45.4,0.005750753629842181
1990-06-01,1.312,1912.41,137.66,0.013718866571018652
1990-07-01,52.81,150353.901648,393.64,1.0785789214347201
1990-08-01,180.36225806451614,709486.5012480001,359.34,5.089573179684362
1990-09-01,109.282,355444.91020800004,197.68,2.5498200158393116
1990-10-01,19.82,33065.227728,43.44,0.23719675558106168
1990-11-01,4.144333333333333,6042.438,7.72,0.04334604017216643
1990-12-01,1.9309677419354838,2909.1960000000004,1.9,0.020869411764705886
1991-01-01,1.008709677419355,1519.7220000000002,0.0,0.010901879483500718
1991-02-01,0.5314285714285715,675.3144960000001,0.0,0.004844436843615496
1991-03-01,0.38193548387096776,547.259328,7.46,0.0039258201434720225
1991-04-01,0.44299999999999995,617.105304,33.8,0.004426867317073171
1991-05-01,0.8141935483870968,1207.8577440000001,49.879999999999995,0.008664689698708752
1991-06-01,14.215333333333335,35159.024592,205.4,0.25221681916786226
1991-07-01,83.21645161290323,265424.930352,391.56,1.9040525850215209
1991-08-01,168.0909677419355,651673.998,310.9,4.674849340028694
1991-09-01,76.815,215042.768352,179.98,1.5426310498708753
1991-10-01,23.425161290322578,38526.137568000006,48.54,0.276371144677188
1991-11-01,4.757000000000001,6935.706,7.64,0.04975398852223816
1991-12-01,4.789032258064516,7215.156,1.9,0.051758651362984215
1992-01-01,3.045483870967742,4587.361776000001,0.0,0.032907903701578194
1992-02-01,2.0637931034482757,2811.095928,0.68,0.020165680975609758
1992-03-01,2.7387096774193544,3976.0632,8.28,0.028522691535150645
1992-04-01,0.8423333333333333,1187.507952,21.880000000000003,0.008518708407460544
1992-05-01,1.890967741935484,2814.083856,62.1,0.02018711517934003
1992-06-01,1.977,3320.7952320000004,197.74,0.023822060487804882
1992-07-01,42.12,102177.51674400001,330.12,0.7329807513916787
1992-08-01,158.53129032258065,589716.0722160001,452.14,4.230387892510761
1992-09-01,71.11466666666666,179432.516088,165.7,1.2871773033572453
1992-10-01,50.34774193548387,107556.66388800001,132.94,0.7715686075179341
1992-11-01,14.929666666666666,21962.65104,29.48,0.15755129870875179
1992-12-01,6.339032258064516,9550.386,2.02,0.06851065997130559
1993-01-01,2.7051612903225806,4069.3849200000004,0.16,0.029192144332855097
1993-02-01,1.3092857142857142,1655.292672,0.39999999999999997,0.011874409411764706
