,Discharge,Rainfall,Sediment_Yield,Days_in_Month,Monthly_Sediment_Yield_tons_ha
1990-01-01,2.3941935483870966,0.0,0.0016768285833294763,31,0.05198168608321377
1990-02-01,0.9117857142857143,0.0,0.0006385901209264193,28,0.01788052338593974
1990-03-01,0.606774193548387,24.14,0.0004328237330494747,31,0.013417535724533716
1990-04-01,0.4043333333333334,24.12,0.00028741945480631275,30,0.008622583644189382
1990-05-01,0.5390322580645162,45.4,0.0003894477900680335,31,0.01207288149210904
1990-06-01,1.312,137.66,0.00099308350071736,30,0.0297925050215208
1990-07-01,52.81,393.64,0.07178614996991717,31,2.225370649067432
1990-08-01,180.36225806451614,359.34,0.3649591322071551,31,11.313733098421809
1990-09-01,109.282,197.68,0.18460895758967003,30,5.538268727690101
1990-10-01,19.82,43.44,0.016405743323922802,31,0.5085780430416069
1990-11-01,4.144333333333333,7.72,0.0029259890961262553,30,0.08777967288378766
1990-12-01,1.9309677419354838,1.9,0.0013545670199472393,31,0.04199157761836442
1991-01-01,1.008709677419355,0.0,0.0007064730504003331,31,0.021900664562410327
1991-02-01,0.5314285714285715,0.0,0.000372198237343718,28,0.010421550645624104
1991-03-01,0.38193548387096776,7.46,0.00027002249271069556,31,0.008370697274031563
1991-04-01,0.44299999999999995,33.8,0.0003170871736011478,30,0.009512615208034434
1991-05-01,0.8141935483870968,49.879999999999995,0.0005918222057666497,31,0.01834648837876614
1991-06-01,14.215333333333335,205.4,0.016855249583931135,30,0.505657487517934
1991-07-01,83.21645161290323,391.56,0.12952612194196325,31,4.015309780200861
1991-08-01,168.0909677419355,310.9,0.3357967529782015,31,10.409699342324247
1991-09-01,76.815,179.98,0.1093663874892396,30,3.280991624677188
1991-10-01,23.425161290322578,48.54,0.01879234888693479,31,0.5825628154949785
1991-11-01,4.757000000000001,7.64,0.003369035982783357,30,0.10107107948350072
1991-12-01,4.789032258064516,1.9,0.0033595012727356873,31,0.10414453945480631
1992-01-01,3.045483870967742,0.0,0.0021329747581802193,31,0.0661222175035868
1992-02-01,2.0637931034482757,0.68,0.0014458011774600504,29,0.04192823414634146
1992-03-01,2.7387096774193544,8.28,0.0018990315731013097,31,0.0588699787661406
1992-04-01,0.8423333333333333,21.880000000000003,0.00058667087517934,30,0.0176001262553802
1992-05-01,1.890967741935484,62.1,0.0013886279816726062,31,0.04304746743185079
1992-06-01,1.977,197.74,0.0015128325968436155,30,0.04538497790530847
1992-07-01,42.12,330.12,0.046376010737261074,31,1.4376563328550933
1992-08-01,158.53129032258065,452.14,0.2985876504836396,31,9.256217164992828
1992-09-01,71.11466666666666,165.7,0.08782778892395983,30,2.634833667718795
1992-10-01,50.34774193548387,132.94,0.050812290054149126,31,1.5751809916786228
1992-11-01,14.929666666666666,29.48,0.011239072941176471,30,0.33717218823529416
1992-12-01,6.339032258064516,2.02,0.004508322969408062,31,0.13975801205164992
1993-01-01,2.7051612903225806,0.16,0.0018946220021289397,31,0.05873328206599713
1993-02-01,1.3092857142857142,0.39999999999999997,0.0009172053289608526,28,0.025681749210903874
1993-03-01,0.6970967741935483,30.9,0.0005009716480770121,31,0.015530121090387376
1993-04-01,0.9123333333333333,28.8,0.0006578134863701578,30,0.019734404591104735
1993-05-01,2.1248387096774195,98.14,0.0015892729578377378,31,0.049267461692969874
1993-06-01,10.371666666666666,176.2,0.008357795121951221,30,0.2507338536585366
1993-07-01,85.92451612903226,427.5,0.1274904296570556,31,3.9522033193687234
1993-08-01,140.16548387096773,325.06,0.2622226584347665,31,8.128902411477762
1993-09-01,100.43666666666667,200.98,0.1642836468292683,30,4.928509404878049
1993-10-01,37.674838709677424,75.72,0.03498249308094599,31,1.0844572855093257
1993-11-01,11.714,10.940000000000001,0.008663399483500717,30,0.2599019845050215
1993-12-01,4.7383870967741935,4.859999999999999,0.003329820891377794,31,0.10322444763271162
1994-01-01,2.378064516129032,2.5,0.001637737251816541,31,0.05076985480631277
1994-02-01,1.3110714285714287,2.78,0.0008455012092641936,28,0.02367403385939742
1994-03-01,0.6103225806451613,10.78,0.00038581696672374693,31,0.011960325968436155
1994-04-01,0.3496666666666667,19.6,0.00020819466284074606,30,0.006245839885222382
1994-05-01,1.0135483870967743,47.3,0.0007243812468181607,31,0.022455818651362983
1994-06-01,19.355666666666664,290.18,0.017509774002869443,30,0.5252932200860833
1994-07-01,84.87645161290322,482.6,0.12377093304947472,31,3.8368989245337164
1994-08-01,194.3551612903226,418.82,0.40556764803998707,31,12.572597089239599
1994-09-01,122.46866666666666,194.88,0.22037680872309903,30,6.611304261692971
1994-10-01,19.98677419354839,24.64,0.01569770078215393,31,0.48662872424677184
1994-11-01,7.016,10.96,0.0049636841319942605,30,0.14891052395982782
1994-12-01,4.14,8.28,0.0029328595362613967,31,0.0909186456241033
1995-01-01,2.164516129032258,0.0,0.0014946116351182486,31,0.04633296068866571
1995-02-01,1.6732142857142858,0.2,0.0010708734576757534,28,0.029984456814921095
1995-03-01,1.4819354838709677,22.62,0.0009438061369000788,31,0.02925799024390244
1995-04-01,1.3946666666666667,33.46,0.0009740412051649929,30,0.029221236154949787
1995-05-01,1.5551612903225807,76.56,0.001084232628314898,31,0.03361121147776184
1995-06-01,4.986666666666666,158.22,0.0037938380487804882,30,0.11381514146341465
1995-07-01,61.60967741935484,421.32,0.08686438850372565,31,2.692796043615495
1995-08-01,148.57322580645163,336.5,0.28444802377007455,31,8.81788873687231
1995-09-01,98.55366666666667,145.36,0.15034813360114777,30,4.510444008034433
1995-10-01,24.946129032258067,15.68,0.019052625538020087,31,0.5906313916786227
1995-11-01,17.016666666666666,13.040000000000001,0.012869009354375897,30,0.3860702806312769
1995-12-01,12.738387096774193,13.18,0.009446510630814088,31,0.29284182955523674
1996-01-01,7.4558064516129035,4.92,0.005128753903827463,31,0.15899137101865135
1996-02-01,3.591379310344828,2.7399999999999998,0.0017556451788452976,29,0.05091371018651363
1996-03-01,3.3716129032258064,40.46,0.0021211825797195355,31,0.0657566599713056
1996-04-01,3.402,56.26,0.00224208,30,0.0672624
1996-05-01,7.991612903225807,92.28,0.005995960864534642,31,0.1858747868005739
1996-06-01,56.431333333333335,212.7,0.06517923856527978,30,1.9553771569583935
1996-07-01,179.07999999999998,414.46,0.3540604981718887,31,10.975875443328551
1996-08-01,200.46774193548387,322.24,0.42063225499143797,31,13.039599904734578
1996-09-01,101.51166666666667,177.5,0.16624874582496413,30,4.987462374748924
1996-10-01,36.936129032258066,26.26,0.031145438570833527,31,0.9655085956958394
1996-11-01,22.107333333333333,30.2,0.016886475064562412,30,0.5065942519368724
1996-12-01,15.247096774193547,2.8,0.011448039987041237,31,0.35488923959827834
1997-01-01,10.778064516129032,0.7400000000000001,0.007665409839403897,31,0.2376277050215208
1997-02-01,7.994285714285715,0.0,0.004671408403361345,28,0.13079943529411767
1997-03-01,6.630967741935484,33.42,0.0040230202434396265,31,0.12471362754662842
1997-04-01,4.968999999999999,20.58,0.0030603160975609758,30,0.09180948292682928
1997-05-01,7.351935483870967,116.64,0.005496420752533902,31,0.17038904332855095
1997-06-01,48.027,199.66,0.06100303299856528,30,1.8300909899569584
1997-07-01,141.97677419354838,375.62,0.2583778144490212,31,8.009712247919657
1997-08-01,150.53354838709677,276.36,0.28621948368584255,31,8.872803994261119
1997-09-01,79.623,154.73999999999998,0.10268074639885223,30,3.080422391965567
1997-10-01,58.90225806451613,116.48,0.06083311856342852,31,1.885826675466284
1997-11-01,54.58166666666667,29.18,0.053150930961262555,30,1.5945279288378766
1997-12-01,16.693225806451615,18.46,0.012563402526958856,31,0.38946547833572454
1998-01-01,2.390329712967742,5.140000000000001,0.0014976416099649558,31,0.04642688990891363
1998-02-01,1.4863974192857141,0.0,0.0006931973523216315,28,0.019409525865005682
1998-03-01,1.056226048935484,16.82,0.0005028882906050595,31,0.015589537008756845
1998-04-01,0.8537483837333333,8.48,0.0004125073858345137,30,0.01237522157503541
1998-05-01,2.039593295516129,93.32000000000001,0.0015006579210323399,31,0.04652039555200253
1998-06-01,10.790457301966667,200.82,0.00896872463600457,30,0.2690617390801371
1998-07-01,64.34354830870969,386.52000000000004,0.08358295487957702,31,2.5910716012668877
1998-08-01,129.1266975196774,337.62,0.2367227366038958,31,7.33840483472077
1998-09-01,87.42461258666667,212.58,0.13209382612639267,30,3.96281478379178
1998-10-01,27.39538011967742,72.25999999999999,0.02331379821270307,31,0.7227277445937952
1998-11-01,8.800699112266667,0.33999999999999997,0.006019198425896333,30,0.18057595277688998
1998-12-01,8.692484231225807,0.84,0.006093858288219607,31,0.18890960693480782
1999-01-01,6.818999409354839,12.940000000000001,0.004017671784326561,31,0.12454782531412338
1999-02-01,1.7624757657857142,0.0,0.0007962481800050175,28,0.02229494904014049
1999-03-01,0.7750207089677419,5.28,0.00031549769695758597,31,0.009780428605685164
1999-04-01,0.5813040363666667,18.8,0.00029571058242470013,30,0.008871317472741004
1999-05-01,0.7726077144193548,38.1,0.0005526386173365891,31,0.017131797137434263
1999-06-01,5.112162947966667,185.72,0.003917920686350152,30,0.11753762059050457
1999-07-01,70.14169132193548,420.36,0.10127365220217448,31,3.139483218267409
1999-08-01,92.62686242419355,337.22,0.14180634175641146,31,4.395996594448755
1999-09-01,50.603296838666665,177.48,0.05434470157373406,30,1.6303410472120219
1999-10-01,57.22389855451613,143.66,0.07163377031298339,31,2.220646879702485
1999-11-01,12.868051102299999,10.0,0.009339837462952838,30,0.28019512388858514
1999-12-01,9.149603754032258,10.9,0.006480559478160433,31,0.20089734382297342
2000-01-01,6.234583191258064,0.0,0.0024405246298075402,31,0.07565626352403375
2000-02-01,3.9403113918965516,0.06,0.0014164769330754663,29,0.041077831059188524
2000-03-01,2.1988012902903225,6.640000000000001,0.0008986325012844134,31,0.027857607539816816
2000-04-01,2.734243994666667,71.26,0.0017332527725767576,30,0.05199758317730273
2000-05-01,1.931443196032258,77.88000000000001,0.0013818125822544622,31,0.042836190049888326
2000-06-01,13.314609991666666,170.04,0.011596105582383977,30,0.3478831674715193
2000-07-01,102.00218235419354,422.78,0.17787091010594272,31,5.513998213284224
2000-08-01,160.65522604096776,343.65999999999997,0.3248372640180786,31,10.069955184560436
2000-09-01,50.51457540933333,200.48,0.05505197969790026,30,1.6515593909370079
2000-10-01,46.87531704,116.3,0.04835153959801272,31,1.4988977275383943
2000-11-01,13.019850852966666,30.92,0.009600989922977424,30,0.28802969768932274
2000-12-01,5.478073021483871,5.64,0.0029258763924382655,31,0.09070216816558622
2001-01-01,3.3229322047741934,0.0,0.0016956555873543797,31,0.05256532320798577
