Julian_Day,Season,Sediment_Yield_tons_ha_yr
1,Dry,1.1462712645408237
2,Dry,1.1274348460393337
3,Dry,1.0858591966513056
4,Dry,1.0801117816823276
5,Dry,1.0659124001705718
6,Dry,1.0376130752239396
7,Dry,1.0290316410118663
8,Dry,0.9929526189768042
9,Dry,0.9828635246408977
10,Dry,0.9690923567503196
11,Dry,0.9548927603649388
12,Dry,0.9336817669605221
13,Dry,0.9218629326413547
14,Dry,0.9136371275951282
15,Dry,0.9040110191660646
16,Dry,0.894514570262866
17,Dry,0.8837500888676526
18,Dry,0.8717883032730258
19,Dry,0.8511163256035059
20,Dry,0.8469028957068304
21,Dry,0.8367550084569456
22,Dry,0.8308563413572597
23,Dry,0.8184046527041402
24,Dry,0.8122682166869978
25,Dry,0.8054859929385805
26,Dry,0.7848538846806623
27,Dry,0.7824611792514833
28,Dry,0.7743014629280773
29,Dry,0.773297672891381
30,Dry,0.7675307287405996
31,Dry,0.7618787094588334
32,Dry,0.6929694709995047
33,Dry,0.6845122818908463
34,Dry,0.6808675472618076
35,Dry,0.6721630623279689
36,Dry,0.6512660786035623
37,Dry,0.6364590378184681
38,Dry,0.6246132767449369
39,Dry,0.6207579163116024
40,Dry,0.6125139352585139
41,Dry,0.6042921173477739
42,Dry,0.5968680568235222
43,Dry,0.5881008911785948
44,Dry,0.5846764109189257
45,Dry,0.5786525084134381
46,Dry,0.5710887163106435
47,Dry,0.5646869799830063
48,Dry,0.5619293026440582
49,Dry,0.5532666149740706
50,Dry,0.548926126893959
51,Dry,0.5427282531576617
52,Dry,0.5400895811772229
53,Dry,0.5346315257841036
54,Dry,0.5295387618305134
55,Dry,0.5276634876987975
56,Dry,0.5224267729868992
57,Dry,0.5138463341234454
58,Dry,0.5095846959043453
59,Dry,0.5036687032595927
60,Dry,0.542710924286905
61,Dry,0.5663514813057299
62,Dry,0.5619570672756292
63,Dry,0.5848018374350021
64,Dry,0.6154161515358584
65,Dry,0.6922442916210575
66,Dry,0.6481698155307387
67,Dry,0.5778326670358415
68,Dry,0.5447954903777226
69,Dry,0.5287953719944335
70,Dry,0.5082679351193407
71,Dry,0.5742012071003767
72,Dry,0.6173543772726018
73,Dry,0.6586118250811839
74,Dry,0.6148643103896181
75,Dry,0.590150982373509
76,Dry,0.5779649152164004
77,Dry,0.5804089656512746
78,Dry,0.5902459161354733
79,Dry,0.5811636558209448
80,Dry,0.5648935435629602
81,Dry,0.5422974340399679
82,Dry,0.5376869914071521
