Year,Discharge,Rainfall,Sediment_Yield,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha
1990,31.485397260273974,1235.04,19.831447286083215,365,1235.04,19.831447286083215
1991,31.877561643835616,1237.06,19.079881298134865,365,1237.06,19.079881298134865
1992,29.893907103825136,1403.08,15.636328786226686,366,1403.08,15.636328786226686
1993,33.519561643835615,1379.66,18.851623623529413,365,1379.66,18.851623623529413
1994,38.467342465753426,1513.32,24.495309307317076,365,1513.32,24.495309307317076
1995,31.645315068493154,1236.14,17.609241734289814,365,1236.14,17.609241734289814
1996,53.482978142076504,1382.82,33.520315423816356,366,1382.82,33.520315423816356
1997,49.366383561643836,1341.8799999999999,26.565862653658538,365,1341.8799999999999,26.565862653658538
1998,28.94267585100548,1334.74,15.48760701201802,365,1334.74,15.48760701201802
1999,25.991953341673973,1360.46,12.290236523879324,365,1360.46,12.290236523879324
2000,34.3945678906694,1445.66,20.052321227629722,366,1445.66,20.052321227629722
2001,31.65183421790685,1394.34,19.657871140822127,365,1394.34,19.657871140822127
2002,30.911883430942463,1197.38,17.400400532128458,365,1197.38,17.400400532128458
2003,40.34914255157534,1243.68,25.136427006591155,365,1243.68,25.136427006591155
2004,24.128987698245904,1211.82,11.766670079225166,366,1211.82,11.766670079225166
2005,33.410684549169865,1368.4,18.436968855581338,365,1368.4,18.436968855581338
2006,41.94666726922192,1632.22,27.090256038970793,365,1632.22,27.090256038970793
2007,44.285254628742464,1480.204,28.29024014355855,365,1480.204,28.29024014355855
2008,46.90370829370765,1406.146,31.239519791020708,366,1406.146,31.239519791020708
2009,35.47426095918904,1388.28,24.10835541683231,365,1388.28,24.10835541683231
2010,44.0439394082274,1660.42,29.518714336407392,365,1660.42,29.518714336407392
2011,41.08318383420822,1429.58,26.736175370830352,365,1429.58,26.736175370830352
2012,43.97060727996175,1333.544,27.792175450791625,366,1333.544,27.792175450791625
2013,48.00428068198356,1505.38,30.71639228275012,365,1505.38,30.71639228275012
2014,66.62222497724383,1474.48,43.66970014279997,365,1474.48,43.66970014279997
2015,50.22891403593699,1649.26,30.300157151029936,365,1649.26,30.300157151029936
2016,58.67961099593989,1338.76,34.30856561316043,366,1338.76,34.30856561316043
2017,51.050100368799995,1406.38,32.050869538781456,365,1406.38,32.050869538781456
2018,61.11494816384109,1383.34,39.142536060872004,365,1383.34,39.142536060872004
2019,70.0757905425589,1413.62,47.371031170509006,365,1413.62,47.371031170509006
2020,84.21584617390437,1475.26,57.95087700435855,366,1475.26,57.95087700435855
