Year,Discharge,Rainfall,SSC,SSC_Q05,SSC_Q25,SSC_Q75,SSC_Q95,Sediment_Yield,Sediment_Yield_Q05,Sediment_Yield_Q25,Sediment_Yield_Q75,Sediment_Yield_Q95,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha,Annual_Sediment_Yield_Q05,Annual_Sediment_Yield_Q25,Annual_Sediment_Yield_Q75,Annual_Sediment_Yield_Q95
1990,31.485397260273974,1235.04,1.3405753424657534,0.5889219178082192,0.8226575342465753,3.6428219178082193,8.631506849315068,21.277696080344334,16.598241818651363,19.03746800918221,50.04661887632712,69.39961903472023,365,1235.04,21.277696080344334,16.598241818651363,19.03746800918221,50.04661887632712,69.39961903472023
1991,31.877561643835616,1237.06,1.2546438356164384,0.6020369863013699,0.8385616438356164,3.095253424657534,7.758445205479452,19.94042278794835,15.698000223012913,18.135378872883788,33.651168037876616,63.069119539282646,365,1237.06,19.94042278794835,15.698000223012913,18.135378872883788,33.651168037876616,63.069119539282646
1992,29.893907103825136,1403.08,1.2995218579234973,0.5582677595628415,0.8132718579234972,3.7216871584699454,6.885325136612022,17.284297935150647,12.040589538593974,14.669873819225252,46.36140680401722,60.950670740315644,366,1403.08,17.284297935150647,12.040589538593974,14.669873819225252,46.36140680401722,60.950670740315644
1993,33.519561643835615,1379.66,1.2961506849315068,0.6327095890410959,0.8793835616438356,3.010287671232877,5.97190410958904,19.583248596843617,14.684095150760403,17.370396526829268,36.5854719615495,48.376217200803445,365,1379.66,19.583248596843617,14.684095150760403,17.370396526829268,36.5854719615495,48.376217200803445
1994,38.467342465753426,1513.32,1.2884657534246575,0.6848780821917808,0.9084999999999999,2.2018561643835617,4.708295890410959,24.780503590243903,20.287284655609756,22.915655829555238,27.55094411879484,31.574146793113343,365,1513.32,24.780503590243903,20.287284655609756,22.915655829555238,27.55094411879484,31.574146793113343
1995,31.645315068493154,1236.14,1.1103972602739727,0.5589958904109589,0.7831643835616439,1.767958904109589,3.667732876712329,17.355461103012914,13.523817848952655,15.631894712195123,19.649784251362984,24.36075059810617,365,1236.14,17.355461103012914,13.523817848952655,15.631894712195123,19.649784251362984,24.36075059810617
1996,53.482978142076504,1382.82,1.4360109289617486,0.8271844262295083,1.0849180327868853,2.0033333333333334,3.4050505464480874,33.94822397474893,27.785255582324247,31.232318766714492,37.785446604878054,43.72998430622669,366,1382.82,33.94822397474893,27.785255582324247,31.232318766714492,37.785446604878054,43.72998430622669
1997,49.366383561643836,1341.8799999999999,1.3954520547945204,0.7746849315068493,1.0566438356164385,1.9202191780821918,3.2340273972602733,26.85599933888092,20.35867755822095,24.112669165566718,30.382234961836446,36.451719198852224,365,1341.8799999999999,26.85599933888092,20.35867755822095,24.112669165566718,30.382234961836446,36.451719198852224
1998,28.94267585100548,1334.74,1.1314383561643835,0.5507671232876712,0.7859109589041097,1.7782671232876712,3.809106849315069,15.422937434607844,11.570441195343685,13.72787271794713,17.682244587117157,25.791882654797533,365,1334.74,15.422937434607844,11.570441195343685,13.72787271794713,17.682244587117157,25.791882654797533
1999,25.991953341673973,1360.46,1.1342876712328767,0.496486301369863,0.7583561643835617,1.9107260273972602,4.787524657534247,12.142385545195092,8.171815210454955,10.529582543671488,14.250333884129233,19.98017715521247,365,1360.46,12.142385545195092,8.171815210454955,10.529582543671488,14.250333884129233,19.98017715521247
